mech_smi,rxn_idx,step_idx_retro,source,source_db,split
"C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.C1=CC=C([P:1](C2=CC=CC=C2)C2=CC=CC=C2)C=C1.CC1=CC(C)=C2OC(NC3=CC=C(B4OC(C)(C)C(C)(C)O4)C=C3)=NC2=C1.CN1CCCC(N2N=C(I)C3=C(N)N=CN=C32)C1.COCCOC.O.O=C([O-])[O-].[Na+].[Na+].[Pd:2]|(1, 2)",0,6,reaction_12,USPTO_suzuki,train
"C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.C1=CC=C([P+](C2=CC=CC=C2)(C2=CC=CC=C2)[Pd-:2])C=C1.C1=CC=C([P:1](C2=CC=CC=C2)C2=CC=CC=C2)C=C1.CC1=CC(C)=C2OC(NC3=CC=C(B4OC(C)(C)C(C)(C)O4)C=C3)=NC2=C1.CN1CCCC(N2N=C(I)C3=C(N)N=CN=C32)C1.COCCOC.O.O=C([O-])[O-].[Na+].[Na+]|(1, 2)",0,5,reaction_12,USPTO_suzuki,train
"C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.C1=CC=C([P+](C2=CC=CC=C2)(C2=CC=CC=C2)[Pd-2:3][P+](C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.CC1=CC(C)=C2OC(NC3=CC=C(B4OC(C)(C)C(C)(C)O4)C=C3)=NC2=C1.CN1CCCC(N2N=[C:1]([I:2])C3=C(N)N=CN=C32)C1.COCCOC.O.O=C([O-])[O-].[Na+].[Na+]|(3, 1);((1, 2), 3)",0,4,reaction_12,USPTO_suzuki,train
"C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.CC1=CC(C)=C2OC(NC3=CC=C(B4OC(C)(C)C(C)(C)O4)C=C3)=NC2=C1.CN1CCCC(N2N=[C]([Pd-2:1]([P+](C3=CC=CC=C3)(C3=CC=CC=C3)C3=CC=CC=C3)([P+](C3=CC=CC=C3)(C3=CC=CC=C3)C3=CC=CC=C3)[I:4])C3=C(N)N=CN=C32)C1.COCCOC.O.O=C([O-])[O-:2].[Na+:3].[Na+]|(2, 1);((1, 4), 3)",0,3,reaction_12,USPTO_suzuki,train
"C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.CC1=CC(C)=C2OC(NC3=CC=[C:1]([B:3]4OC(C)(C)C(C)(C)O4)C=C3)=NC2=C1.CN1CCCC(N2N=[C]([Pd-2:2]([O]C(=O)[O-])([P+](C3=CC=CC=C3)(C3=CC=CC=C3)C3=CC=CC=C3)[P+](C3=CC=CC=C3)(C3=CC=CC=C3)C3=CC=CC=C3)C3=C(N)N=CN=C32)C1.COCCOC.O.[Na+].[Na][I]|(2, 1);((1, 3), 2)",0,2,reaction_12,USPTO_suzuki,train
"C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.CC1=CC(C)=C2OC(NC3=CC=[C]([Pd-2:2]([C]4=NN(C5CCCN(C)C5)C5=NC=NC(N)=C54)([P+](C4=CC=CC=C4)(C4=CC=CC=C4)C4=CC=CC=C4)([P+](C4=CC=CC=C4)(C4=CC=CC=C4)C4=CC=CC=C4)([B:1]4OC(C)(C)C(C)(C)O4)[O:3]C(=O)[O-])C=C3)=NC2=C1.COCCOC.O.[Na+].[Na][I]|((2, 3), 1);((1, 2), 2)",0,1,reaction_12,USPTO_suzuki,train
"C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.CC1(C)OB(OC(=O)[O-])OC1(C)C.CC1=CC(C)=C2OC(NC3=CC=[C:1]([Pd-2:2]([P+](C4=CC=CC=C4)(C4=CC=CC=C4)C4=CC=CC=C4)([P+](C4=CC=CC=C4)(C4=CC=CC=C4)C4=CC=CC=C4)[C:3]4=NN(C5CCCN(C)C5)C5=NC=NC(N)=C54)C=C3)=NC2=C1.COCCOC.O.[Na+].[Na][I]|((2, 3), 1);((1, 2), 2)",0,0,reaction_12,USPTO_suzuki,train
"C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.C1=CC=C([P:1](C2=CC=CC=C2)C2=CC=CC=C2)C=C1.CC1=CC=CC=C1.CC1=CC=CC=C1B(O)O.COC1=CC(I)=CC=C1C(=O)N1CC2=CC=CN2CC2=C1C=CC=C2.O=C([O-])[O-].[Na+].[Na+].[Pd:2]|(1, 2)",1,6,reaction_22,USPTO_suzuki,train
"C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.C1=CC=C([P+](C2=CC=CC=C2)(C2=CC=CC=C2)[Pd-:1])C=C1.C1=CC=C([P:2](C2=CC=CC=C2)C2=CC=CC=C2)C=C1.CC1=CC=CC=C1.CC1=CC=CC=C1B(O)O.COC1=CC(I)=CC=C1C(=O)N1CC2=CC=CN2CC2=CC=CC=C21.O=C([O-])[O-].[Na+].[Na+]|(2, 1)",1,5,reaction_22,USPTO_suzuki,train
"C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.C1=CC=C([P+](C2=CC=CC=C2)(C2=CC=CC=C2)[Pd-2:3][P+](C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.CC1=CC=CC=C1.CC1=CC=CC=C1B(O)O.COC1=C[C:2]([I:1])=CC=C1C(=O)N1CC2=CC=CN2CC2=CC=CC=C21.O=C([O-])[O-].[Na+].[Na+]|(3, 2);((2, 1), 3)",1,4,reaction_22,USPTO_suzuki,train
