mech_smi,rxn_idx,step_idx_retro,source,source_db,split
"C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.CO.COC1=CC=C(S(=O)(=O)N(CC(=O)OC(C)(C)C)C[CH:2]=[C:1](C)C)C=C1.ClCCl.[O-:3][O+:4]=[O:5]|(3, 1);((1, 2), 5);((5, 4), 4)",0,4,reaction_47,USPTO_ozonolysis,train
"C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.CO.COC1=CC=C(S(=O)(=O)N(CC(=O)OC(C)(C)C)C[CH:1]2[O:2][O:3][O:4][C:5]2(C)C)C=C1.ClCCl|(2, 1);((1, 5), 4);((4, 3), 3)",0,3,reaction_47,USPTO_ozonolysis,train
"C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.CO.COC1=CC=C(S(=O)(=O)N(CC(=O)OC(C)(C)C)C[CH:1]=[O+:2][O-:3])C=C1.C[C:4](C)=[O:5].ClCCl|(3, 4);((4, 5), 1);((1, 2), 2)",0,2,reaction_47,USPTO_ozonolysis,train
"C1=CC=C([P:3](C2=CC=CC=C2)C2=CC=CC=C2)C=C1.CO.COC1=CC=C(S(=O)(=O)N(CC(=O)OC(C)(C)C)CC2OC(C)(C)[O:2][O:1]2)C=C1.ClCCl|(3, 2);((2, 1), 1)",0,1,reaction_47,USPTO_ozonolysis,train
"CO.COC1=CC=C(S(=O)(=O)N(CC(=O)OC(C)(C)C)C[CH:1]([O-:2])[O:3][C:4](C)(C)[O:5][P+:6](C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.ClCCl|(2, 1);((1, 3), 4);((4, 5), 6)",0,0,reaction_47,USPTO_ozonolysis,train
"C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.CC1CN(C(=O)OC(C)(C)C)C1(C[CH:1]=[C:2](C)C)C(=O)OC(C)(C)C.CO.ClC(Cl)Cl.ClC(Cl)Cl.O.O=S([O-])([O-])=S.[Na+].[Na+].[O-:3][O+:4]=[O:5]|(3, 2);((2, 1), 5);((5, 4), 4)",1,4,reaction_36,USPTO_ozonolysis,train
"C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.CC1CN(C(=O)OC(C)(C)C)C1(C[CH:1]1[O:2][O:3][O:4][C:5]1(C)C)C(=O)OC(C)(C)C.CO.ClC(Cl)Cl.ClC(Cl)Cl.O.O=S([O-])([O-])=S.[Na+].[Na+]|(2, 1);((1, 5), 4);((4, 3), 3)",1,3,reaction_36,USPTO_ozonolysis,train
"C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.CC1CN(C(=O)OC(C)(C)C)C1(C[CH:1]=[O+:2][O-:3])C(=O)OC(C)(C)C.CO.C[C:4](C)=[O:5].ClC(Cl)Cl.ClC(Cl)Cl.O.O=S([O-])([O-])=S.[Na+].[Na+]|(3, 4);((4, 5), 1);((1, 2), 2)",1,2,reaction_36,USPTO_ozonolysis,train
"C1=CC=C([P:3](C2=CC=CC=C2)C2=CC=CC=C2)C=C1.CC1CN(C(=O)OC(C)(C)C)C1(CC1OC(C)(C)[O:2][O:1]1)C(=O)OC(C)(C)C.CO.ClC(Cl)Cl.ClC(Cl)Cl.O.O=S([O-])([O-])=S.[Na+].[Na+]|(3, 1);((1, 2), 2)",1,1,reaction_36,USPTO_ozonolysis,train
"CC1CN(C(=O)OC(C)(C)C)C1(C[CH:1]([O:2][C:3](C)(C)[O-:4])[O:5][P+:6](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1)C(=O)OC(C)(C)C.CO.ClC(Cl)Cl.ClC(Cl)Cl.O.O=S([O-])([O-])=S.[Na+].[Na+]|(4, 3);((3, 2), 1);((1, 5), 6)",1,0,reaction_36,USPTO_ozonolysis,train
"CNC1=C([CH:1]=[CH2:2])C=NC(Cl)=N1.CO.CSC.ClC(Cl)Cl.[O-:3][O+:4]=[O:5]|(3, 1);((1, 2), 5);((5, 4), 4)",2,4,reaction_0,USPTO_ozonolysis,train
"CNC1=NC(Cl)=NC=C1[CH:1]1[CH2:2][O:3][O:4][O:5]1.CO.CSC.ClC(Cl)Cl|(5, 1);((1, 2), 3);((3, 4), 4)",2,3,reaction_0,USPTO_ozonolysis,train
"CNC1=NC(Cl)=NC=C1[CH:3]=[O+:4][O-:5].CO.CSC.ClC(Cl)Cl.[CH2:1]=[O:2]|(5, 1);((1, 2), 3);((3, 4), 4)",2,2,reaction_0,USPTO_ozonolysis,train
"CNC1=NC(Cl)=NC=C1C1OC[O:2][O:3]1.CO.C[S:1]C.ClC(Cl)Cl|(1, 2);((2, 3), 3)",2,1,reaction_0,USPTO_ozonolysis,train
"CNC1=NC(Cl)=NC=C1[CH:1]([O-:2])[O:3][CH2:4][O:5][S+:6](C)C.CO.ClC(Cl)Cl|(2, 1);((1, 3), 4);((4, 5), 6)",2,0,reaction_0,USPTO_ozonolysis,train
"CCC1=C(C[CH:1]=[CH2:2])C=C(CC(=O)OC)C=N1.CO.CSC.ClCCl.[O-:3][O+:4]=[O:5]|(3, 1);((1, 2), 5);((5, 4), 4)",3,4,reaction_18,USPTO_ozonolysis,train
"CCC1=NC=C(CC(=O)OC)C=C1C[CH:1]1[CH2:2][O:3][O:4][O:5]1.CO.CSC.ClCCl|(5, 1);((1, 2), 3);((3, 4), 4)",3,3,reaction_18,USPTO_ozonolysis,train
"CCC1=NC=C(CC(=O)OC)C=C1C[CH:3]=[O+:4][O-:5].CO.CSC.ClCCl.[CH2:1]=[O:2]|(5, 1);((1, 2), 3);((3, 4), 4)",3,2,reaction_18,USPTO_ozonolysis,train
"CCC1=NC=C(CC(=O)OC)C=C1CC1OC[O:1][O:2]1.CO.C[S:3]C.ClCCl|(3, 2);((2, 1), 1)",3,1,reaction_18,USPTO_ozonolysis,train
"CCC1=NC=C(CC(=O)OC)C=C1C[CH:1]([O:2][CH2:3][O-:4])[O:5][S+:6](C)C.CO.ClCCl|(4, 3);((3, 2), 1);((1, 5), 6)",3,0,reaction_18,USPTO_ozonolysis,train
"CCN(CC)CC.CCOC(=O)C1(C[CH:1]=[C:2](C)C)CCCN(C(=O)OCC2=CC=CC=C2)C1.CSC.ClCCl.[O-:3][O+:4]=[O:5]|(3, 2);((2, 1), 5);((5, 4), 4)",4,4,reaction_17,USPTO_ozonolysis,train
"CCN(CC)CC.CCOC(=O)C1(C[CH:1]2[O:2][O:3][O:4][C:5]2(C)C)CCCN(C(=O)OCC2=CC=CC=C2)C1.CSC.ClCCl|(2, 1);((1, 5), 4);((4, 3), 3)",4,3,reaction_17,USPTO_ozonolysis,train
"CCN(CC)CC.CCOC(=O)C1(C[CH:3]=[O+:4][O-:5])CCCN(C(=O)OCC2=CC=CC=C2)C1.CSC.C[C:1](C)=[O:2].ClCCl|(5, 1);((1, 2), 3);((3, 4), 4)",4,2,reaction_17,USPTO_ozonolysis,train
"CCN(CC)CC.CCOC(=O)C1(CC2OC(C)(C)[O:2][O:1]2)CCCN(C(=O)OCC2=CC=CC=C2)C1.C[S:3]C.ClCCl|(3, 2);((2, 1), 1)",4,1,reaction_17,USPTO_ozonolysis,train
"CCN(CC)CC.CCOC(=O)C1(C[CH:1]([O-:2])[O:3][C:4](C)(C)[O:5][S+:6](C)C)CCCN(C(=O)OCC2=CC=CC=C2)C1.ClCCl|(2, 1);((1, 3), 4);((4, 5), 6)",4,0,reaction_17,USPTO_ozonolysis,train
"CO.CSC.ClCCl.OCC1C[C:2](=[CH2:1])C1CO.[O-:3][O+:4]=[O:5]|(3, 2);((2, 1), 5);((5, 4), 4)",5,4,reaction_39,USPTO_ozonolysis,train
"CO.CSC.ClCCl.OCC1C[C:1]2(C1CO)[CH2:2][O:3][O:4][O:5]2|(5, 1);((1, 2), 3);((3, 4), 4)",5,3,reaction_39,USPTO_ozonolysis,train
